Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_19_000000000-CR8CR_1_1109_16826_26167	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2108_14871_6167	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2105_5425_17115	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_9353_26804	1	10	9.090909	9	1	8	11.11111111111111
M06508_16_000000000-CMN9T_1_1106_19045_26276	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1114_17410_7841	15	16	48.387097	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_2114_18471_12006	3	7	30	7	2	5	28.57142857142857
M06508_18_000000000-CNPPR_1_1103_12556_11282	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_23161_21407	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1111_9890_24114	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_16438_3140	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_6788_12417	3	3	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1111_16503_14006	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2105_2557_12931	2	3	40	4	2	2	50
M06508_12_000000000-CJG44_1_1106_24927_21436	4	5	44.444444	4	2	2	50
M06508_12_000000000-CJG44_1_1104_11342_14173	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2109_14460_5176	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2106_8940_19222	5	5	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1103_18097_22071	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_5891_17784	1	2	33.333333	3	1	2	33.33333333333333
M06508_19_000000000-CR8CR_1_1114_17646_14373	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1112_23037_7508	2	2	50	2	1	1	50
M06508_12_000000000-CJG44_1_1113_17742_5254	1	6	14.285714	7	1	6	14.285714285714285
M06508_9_000000000-JTBW3_1_1114_19108_3686	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2113_13403_2923	5	26	16.129032	19	3	16	15.789473684210526
M06508_12_000000000-CJG44_1_2107_2466_19252	4	18	18.181818	17	2	15	11.76470588235294
M06508_16_000000000-CMN9T_1_2104_8186_23198	1	9	10	9	1	8	11.11111111111111
M06508_16_000000000-CMN9T_1_2108_22316_23117	5	5	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1110_25287_9184	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_18041_1953	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2106_27106_19559	2	3	40	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2111_10219_12401	2	2	50	2	1	1	50
M06508_12_000000000-CJG44_1_1114_18050_22299	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_7929_15918	18	18	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_9217_6060	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2109_7049_12750	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2106_22589_19404	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_19911_12468	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2101_3161_9768	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1104_5100_23121	4	11991	0.033347	621	1	620	0.1610305958132045
M06508_18_000000000-CNPPR_1_2104_10446_25174	2	4	33.333333	4	1	3	25
M06508_18_000000000-CNPPR_1_2114_8074_11825	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1107_23039_11973	1	47	2.083333	37	1	36	2.7027027027027026
M06508_19_000000000-CR8CR_1_1105_15201_9077	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_18970_11727	2	8	20	8	1	7	12.5
M06508_8_000000000-JTFYW_1_1102_6541_13497	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2108_13872_28263	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2106_19305_24705	7	14	33.333333	13	6	7	46.15384615384615
M06508_18_000000000-CNPPR_1_1111_21867_27189	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1112_10082_10932	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2101_11541_19099	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2103_9688_9539	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_8701_24866	2	39	4.878049	34	2	32	5.88235294117647
