ASV_ID	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
ASV26285	30	0	100	1	1	0	100
ASV26941	29	0	100	1	1	0	100
ASV26942	29	0	100	1	1	0	100
ASV26943	25	4	86.206897	2	1	1	50
ASV26980	29	0	100	1	1	0	100
ASV27158	20	8	71.428571	6	1	5	16.666666666666664
ASV27532	16	11	59.259259	3	1	2	33.33333333333333
ASV28164	12	14	46.153846	3	1	2	33.33333333333333
ASV28242	26	0	100	1	1	0	100
ASV28243	26	0	100	1	1	0	100
ASV28488	26	0	100	1	1	0	100
ASV30131	23	0	100	1	1	0	100
ASV30238	5	18	21.73913	3	1	2	33.33333333333333
ASV31102	22	0	100	1	1	0	100
ASV32611	20	0	100	1	1	0	100
ASV32612	20	0	100	1	1	0	100
ASV32613	20	0	100	1	1	0	100
ASV32796	1	18	5.263158	5	1	4	20
ASV33405	19	0	100	1	1	0	100
ASV33755	3	15	16.666667	6	1	5	16.666666666666664
ASV33823	12	6	66.666667	3	1	2	33.33333333333333
ASV34262	18	0	100	1	1	0	100
ASV34263	18	0	100	1	1	0	100
ASV35202	17	0	100	1	1	0	100
ASV35203	17	0	100	1	1	0	100
ASV35204	17	0	100	1	1	0	100
ASV35205	17	0	100	1	1	0	100
ASV35206	17	0	100	1	1	0	100
ASV35207	17	0	100	1	1	0	100
ASV36268	16	0	100	1	1	0	100
ASV36269	16	0	100	1	1	0	100
ASV36270	16	0	100	1	1	0	100
ASV36271	16	0	100	1	1	0	100
ASV36272	16	0	100	1	1	0	100
ASV36917	15	0	100	1	1	0	100
ASV37394	15	0	100	1	1	0	100
ASV37395	15	0	100	1	1	0	100
ASV37396	15	0	100	1	1	0	100
ASV37397	15	0	100	1	1	0	100
ASV38590	14	0	100	1	1	0	100
ASV38591	14	0	100	1	1	0	100
ASV38907	13	0	100	1	1	0	100
ASV39925	13	0	100	1	1	0	100
ASV39926	13	0	100	1	1	0	100
ASV39927	13	0	100	1	1	0	100
ASV39928	13	0	100	1	1	0	100
ASV39929	13	0	100	1	1	0	100
ASV39930	13	0	100	1	1	0	100
ASV39931	13	0	100	1	1	0	100
ASV39932	13	0	100	1	1	0	100
ASV40228	12	0	100	1	1	0	100
ASV41277	12	0	100	1	1	0	100
ASV41278	12	0	100	1	1	0	100
ASV41279	12	0	100	1	1	0	100
ASV41280	12	0	100	1	1	0	100
ASV42863	11	0	100	1	1	0	100
ASV42864	11	0	100	1	1	0	100
ASV42865	11	0	100	1	1	0	100
ASV42866	11	0	100	1	1	0	100
ASV42867	11	0	100	1	1	0	100
ASV43015	11	0	100	1	1	0	100
ASV44562	10	0	100	1	1	0	100
ASV44563	10	0	100	1	1	0	100
ASV46480	9	0	100	1	1	0	100
ASV46481	9	0	100	1	1	0	100
ASV46482	9	0	100	1	1	0	100
ASV46483	9	0	100	1	1	0	100
ASV47579	8	0	100	1	1	0	100
ASV48644	8	0	100	1	1	0	100
ASV48645	8	0	100	1	1	0	100
ASV48646	8	0	100	1	1	0	100
ASV48647	8	0	100	1	1	0	100
ASV48898	8	0	100	1	1	0	100
ASV51150	7	0	100	1	1	0	100
ASV51151	7	0	100	1	1	0	100
ASV51152	7	0	100	1	1	0	100
ASV51153	7	0	100	1	1	0	100
ASV52595	6	0	100	1	1	0	100
ASV53989	6	0	100	1	1	0	100
ASV53990	6	0	100	1	1	0	100
ASV54741	5	0	100	1	1	0	100
ASV56266	5	0	100	1	1	0	100
ASV57450	5	0	100	1	1	0	100
ASV57451	5	0	100	1	1	0	100
ASV61422	4	0	100	1	1	0	100
ASV61423	4	0	100	1	1	0	100
ASV61424	4	0	100	1	1	0	100
ASV66185	3	0	100	1	1	0	100
ASV67153	2	0	100	1	1	0	100
ASV67154	2	0	100	1	1	0	100
