Representative_Sequence	total_reads_NC	total_reads_samps	perc_in_neg	total_samples	num_samp_nc	num_samp_no_nc	perc_in_neg_samp
M06508_19_000000000-CR8CR_1_2107_16964_13806	1	30116	0.00332	105	1	104	0.9523809523809524
M06508_19_000000000-CR8CR_1_1105_27502_9471	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1108_21439_19686	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_10348_16239	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1109_28001_17326	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1108_28136_20592	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1102_11002_13511	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_12543_11774	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_11238_25375	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2109_7191_24026	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1107_15615_16772	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1106_6855_25837	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_6280_18074	1	883	0.113122	17	1	16	5.88235294117647
M06508_8_000000000-JTFYW_1_1112_23447_18310	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_23359_26875	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1105_7084_24711	1	34183	0.002925	75	1	74	1.3333333333333335
M06508_16_000000000-CMN9T_1_1111_28699_17343	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2101_12839_12759	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2105_17898_1685	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2106_15091_22949	12	17	41.37931	5	1	4	20
M06508_16_000000000-CMN9T_1_2103_5733_16494	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1107_2381_18761	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2107_23838_21945	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2102_5442_7714	4	122623	0.003262	38	3	35	7.894736842105263
M06508_16_000000000-CMN9T_1_2103_22795_12622	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1111_25765_24007	36	36	50	2	1	1	50
M06508_12_000000000-CJG44_1_1105_17434_11189	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2111_14816_5496	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2108_10904_20419	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2109_23627_24604	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_27767_21982	2685	5230	33.922931	27	1	26	3.7037037037037033
M06508_8_000000000-JTFYW_1_1110_17961_15104	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2108_8732_18572	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1103_5870_20266	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1112_10353_3176	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2112_21421_18994	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2101_18775_16423	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2113_16622_17882	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2112_14960_3210	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_12892_20585	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2113_20168_5393	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1104_27171_21474	900	9447	8.698173	387	8	379	2.0671834625323
M06508_9_000000000-JTBW3_1_1112_19609_19878	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1105_13889_20983	1	974	0.102564	34	1	33	2.941176470588235
M06508_9_000000000-JTBW3_1_2114_22942_23908	2	298511	6.7e-4	144	2	142	1.3888888888888888
M06508_19_000000000-CR8CR_1_2110_20689_22353	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1105_27374_12991	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1107_28621_14323	93	109	46.039604	4	1	3	25
M06508_18_000000000-CNPPR_1_1106_6722_9275	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1109_12641_26940	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1111_23989_9138	1	2	33.333333	3	1	2	33.33333333333333
M06508_16_000000000-CMN9T_1_2106_26598_8818	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_19189_2950	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1107_6847_10548	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1103_23155_15558	5	5	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1107_16779_16240	408	31438	1.281166	713	2	711	0.2805049088359046
M06508_18_000000000-CNPPR_1_2104_16364_11502	1	281205	3.56e-4	213	1	212	0.4694835680751174
M06508_16_000000000-CMN9T_1_1104_21337_25411	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1108_21799_6816	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1102_4633_23113	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2110_18300_9262	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1113_6729_12477	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1104_12463_5081	1	2	33.333333	3	1	2	33.33333333333333
M06508_8_000000000-JTFYW_1_1110_11250_25175	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2108_7644_5469	1	97292	0.001028	36	1	35	2.7777777777777777
M06508_8_000000000-JTFYW_1_1101_15883_24250	1	33639	0.002973	176	1	175	0.5681818181818182
M06508_8_000000000-JTFYW_1_2108_22319_26340	5	5	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2106_8480_13931	2	247	0.803213	38	1	37	2.631578947368421
M06508_9_000000000-JTBW3_1_1110_14130_26554	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2104_22194_19773	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1113_7395_22837	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1105_27659_8424	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1109_23951_14573	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2113_14899_11506	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1110_14081_4887	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2104_20169_14107	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_2108_5058_23569	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1101_18217_8150	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_3807_8185	1	4121	0.02426	90	1	89	1.1111111111111112
M06508_19_000000000-CR8CR_1_2113_5540_13655	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_1109_24261_13004	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_16684_13358	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_1108_13911_25775	1	1	50	2	1	1	50
M06508_9_000000000-JTBW3_1_1107_26203_21824	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1110_2691_13117	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1112_15859_1549	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_1107_18608_4708	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1109_15494_17160	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_2111_19910_9275	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1112_8541_13399	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2106_3701_17086	1087	14353	7.040155	340	5	335	1.4705882352941175
M06508_16_000000000-CMN9T_1_1113_4858_13845	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_1101_18209_20717	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1102_8118_20997	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2105_13331_7707	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2112_25194_16100	1	1	50	2	1	1	50
M06508_18_000000000-CNPPR_1_2108_8994_6501	368	1248	22.772277	61	2	59	3.278688524590164
M06508_16_000000000-CMN9T_1_2110_22794_14374	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2107_7716_21317	52	52	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1104_9846_12154	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2110_20392_23939	1	1	50	2	1	1	50
M06508_16_000000000-CMN9T_1_1111_23802_20907	1	1	50	2	1	1	50
M06508_19_000000000-CR8CR_1_2108_21580_10541	1	1	50	2	1	1	50
M06508_12_000000000-CJG44_1_2104_16937_22670	1	23296	0.004292	25	1	24	4
M06508_12_000000000-CJG44_1_2108_17273_18376	1	1	50	2	1	1	50
M06508_8_000000000-JTFYW_1_2113_3131_11222	4	4	50	2	1	1	50
